DATE,CMT_1MONTH,CMT_3MONTH,CMT_6MONTH,CMT_1YEAR,CMT_2YEAR,CMT_3YEAR,CMT_5YEAR,CMT_7YEAR,CMT_10YEAR,CMT_20YEAR,CMT_30YEAR,CMT_30YEARDISPLAY
2008/8/6,1.529999971,1.6399999856948853,1.919999957,2.25999999,2.559999943,2.849999905,3.299999952,3.619999886,4.059999943,4.710000038,4.679999828,0
2008/8/7,1.529999971,1.6599999666213989,1.919999957,2.170000076,2.430000067,2.720000029,3.160000086,3.480000019,3.920000076,4.579999924,4.559999943,0
2008/8/8,1.629999995,1.7000000476837158,1.950000048,2.190000057,2.50999999,2.799999952,3.210000038,3.50999999,3.940000057,4.579999924,4.550000191,0
2008/8/11,1.769999981,1.8700000047683716,2.049999952,2.269999981,2.559999943,2.839999914,3.269999981,3.569999933,3.99000001,4.639999866,4.610000134,0
2008/8/12,1.730000019,1.8600000143051147,2.049999952,2.180000067,2.450000048,2.730000019,3.160000086,3.470000029,3.910000086,4.579999924,4.550000191,0
2008/8/13,1.799999952,1.8500000238418579,2,2.190000057,2.5,2.769999981,3.210000038,3.50999999,3.940000057,4.610000134,4.570000172,0
2008/8/14,1.75999999,1.8899999856948853,2,2.140000105,2.450000048,2.720000029,3.150000095,3.460000038,3.890000105,4.550000191,4.519999981,0
2008/8/15,1.730000019,1.8500000238418579,1.99000001,2.119999886,2.400000095,2.670000076,3.109999895,3.420000076,3.839999914,4.5,4.46999979,0
2008/8/18,1.769999981,1.8200000524520874,2.029999971,2.150000095,2.349999905,2.619999886,3.069999933,3.390000105,3.819999933,4.46999979,4.440000057,0
2008/8/19,1.830000043,1.7999999523162842,1.970000029,2.109999895,2.319999933,2.609999895,3.069999933,3.390000105,3.829999924,4.5,4.46999979,0
2008/8/20,1.74000001,1.7100000381469727,1.899999976,2.059999943,2.25,2.539999962,3,3.339999914,3.789999962,4.460000038,4.429999828,0
2008/8/21,1.730000019,1.7200000286102295,1.950000048,2.099999905,2.329999924,2.619999886,3.079999924,3.400000095,3.839999914,4.489999771,4.460000038,0
2008/8/22,1.669999957,1.7000000476837158,1.970000029,2.170000076,2.420000076,2.700000048,3.140000105,3.450000048,3.869999886,4.5,4.460000038,0
2008/8/25,1.659999967,1.7400000095367432,1.960000038,2.119999886,2.329999924,2.619999886,3.039999962,3.359999895,3.789999962,4.420000076,4.400000095,0
2008/8/26,1.669999957,1.7100000381469727,1.950000048,2.190000057,2.349999905,2.640000105,3.059999943,3.369999886,3.789999962,4.429999828,4.400000095,0
2008/8/27,1.580000043,1.6699999570846558,1.929999948,2.160000086,2.309999943,2.579999924,3.019999981,3.339999914,3.769999981,4.409999847,4.380000114,0
2008/8/28,1.629999995,1.7400000095367432,1.980000019,2.190000057,2.369999886,2.619999886,3.089999914,3.420000076,3.789999962,4.409999847,4.380000114,0
2008/8/29,1.629999995,1.7200000286102295,1.970000029,2.170000076,2.359999895,2.599999905,3.099999905,3.450000048,3.829999924,4.46999979,4.429999828,0
2008/9/2,1.639999986,1.7200000286102295,1.929999948,2.119999886,2.25999999,2.50999999,3,3.369999886,3.74000001,4.389999866,4.360000134,0
2008/9/3,1.570000052,1.7000000476837158,1.899999976,2.079999924,2.25999999,2.480000019,2.950000048,3.289999962,3.710000038,4.360000134,4.320000172,0
2008/9/4,1.559999943,1.690000057220459,1.889999986,2.039999962,2.200000048,2.410000086,2.869999886,3.210000038,3.640000105,4.309999943,4.269999981,0
2008/9/5,1.529999971,1.6799999475479126,1.899999976,2.069999933,2.230000019,2.440000057,2.910000086,3.24000001,3.660000086,4.309999943,4.269999981,0
2008/9/8,1.590000033,1.7100000381469727,1.919999957,2.119999886,2.299999952,2.49000001,2.960000038,3.25999999,3.660000086,4.300000191,4.260000229,0
2008/9/9,1.590000033,1.6599999666213989,1.889999986,2.059999943,2.230000019,2.430000067,2.900000095,3.210000038,3.619999886,4.239999771,4.199999809,0
2008/9/10,1.580000043,1.6499999761581421,1.870000005,2.059999943,2.220000029,2.420000076,2.910000086,3.230000019,3.650000095,4.269999981,4.230000019,0
2008/9/11,1.529999971,1.6100000143051147,1.850000024,2.00999999,2.180000067,2.380000114,2.869999886,3.210000038,3.640000105,4.25,4.199999809,0
2008/9/12,1.370000005,1.4900000095367432,1.840000033,2.019999981,2.230000019,2.450000048,2.970000029,3.319999933,3.74000001,4.360000134,4.320000172,0
2008/9/15,0.360000014,1.0199999809265137,1.549999952,1.659999967,1.779999971,2.00999999,2.589999914,2.99000001,3.470000029,4.139999866,4.119999886,0
2008/9/16,0.230000004,0.8399999737739563,1.519999981,1.720000029,1.889999986,2.119999886,2.640000105,3.019999981,3.480000019,4.119999886,4.079999924,0
2008/9/17,0.07,0.029999999329447746,1.029999971,1.5,1.639999986,1.909999967,2.519999981,2.930000067,3.410000086,4.119999886,4.079999924,0
2008/9/18,0.25999999,0.23000000417232513,0.790000021,1.529999971,1.779999971,2.049999952,2.670000076,3.079999924,3.539999962,4.190000057,4.139999866,0
2008/9/19,0.75,0.99000000953674316,1.539999962,2.049999952,2.160000086,2.420000076,3.00999999,3.369999886,3.779999971,4.420000076,4.360000134,0
2008/9/22,0.75999999,1.2799999713897705,1.75999999,2.059999943,2.130000114,2.410000086,3.039999962,3.420000076,3.829999924,4.480000019,4.409999847,0
2008/9/23,0.300000012,0.800000011920929,1.629999995,2.00999999,2.109999895,2.400000095,3.029999971,3.410000086,3.849999905,4.5,4.429999828,0
2008/9/24,0.129999995,0.49000000953674316,1.450000048,1.899999976,2.029999971,2.25999999,2.910000086,3.309999943,3.799999952,4.480000019,4.400000095,0
2008/9/25,0.389999986,0.75999999046325684,1.570000052,1.970000029,2.160000086,2.420000076,3.089999914,3.440000057,3.880000114,4.480000019,4.400000095,0
2008/9/26,0.209999993,0.87000000476837158,1.539999962,1.809999943,2.109999895,2.380000114,3.049999952,3.410000086,3.849999905,4.440000057,4.360000134,0
2008/9/29,0.159999996,0.93999999761581421,1.49000001,1.600000024,1.700000048,1.960000038,2.700000048,3.119999886,3.609999895,4.210000038,4.130000114,0
2008/9/30,1.019999981,0.92000001668930054,1.600000024,1.779999971,2,2.279999971,2.980000019,3.380000114,3.849999905,4.429999828,4.309999943,0
2008/10/1,0.660000026,0.85000002384185791,1.49000001,1.720000029,1.820000052,2.119999886,2.869999886,3.289999962,3.769999981,4.329999924,4.21999979,0
