DATE,CISS
2012/3/9,0.3864
2012/3/16,0.365
2012/3/23,0.3034
2012/3/30,0.3358
2012/4/6,0.3119
2012/4/13,0.3531
2012/4/20,0.3578
2012/4/27,0.3896
2012/5/4,0.3485
2012/5/11,0.337
2012/5/18,0.3733
2012/5/25,0.2991
2012/6/1,0.4281
2012/6/8,0.3974
2012/6/15,0.3318
2012/6/22,0.3726
2012/6/29,0.4198
2012/7/6,0.399
2012/7/13,0.3814
2012/7/20,0.3789
2012/7/27,0.4299
2012/8/3,0.4439
2012/8/10,0.3191
2012/8/17,0.2916
2012/8/24,0.3254
2012/8/31,0.2619
2012/9/7,0.272
2012/9/14,0.2831
2012/9/21,0.2485
2012/9/28,0.2662
2012/10/5,0.2256
2012/10/12,0.2064
2012/10/19,0.253
2012/10/26,0.2298
2012/11/2,0.1824
2012/11/9,0.1817
2012/11/16,0.1614
2012/11/23,0.1566
2012/11/30,0.1369
2012/12/7,0.1246
2012/12/14,0.1235
2012/12/21,0.0998
2012/12/28,0.0613
2013/1/4,0.1221
2013/1/11,0.1245
2013/1/18,0.1214
2013/1/25,0.1094
2013/2/1,0.1379
2013/2/8,0.1211
2013/2/15,0.0923
2013/2/22,0.111
2013/3/1,0.1292
2013/3/8,0.1114
2013/3/15,0.0696
2013/3/22,0.1227
2013/3/29,0.0994
2013/4/5,0.1213
2013/4/12,0.1158
2013/4/19,0.1204
2013/4/26,0.0945
2013/5/3,0.0835
2013/5/10,0.0617
2013/5/17,0.0494
2013/5/24,0.0564
2013/5/31,0.0596
2013/6/7,0.0571
2013/6/14,0.057
2013/6/21,0.0884
2013/6/28,0.0975
2013/7/5,0.0732
2013/7/12,0.0667
2013/7/19,0.0442
2013/7/26,0.0571
2013/8/2,0.0415
2013/8/9,0.042
2013/8/16,0.0404
2013/8/23,0.0402
2013/8/30,0.0437
2013/9/6,0.0471
2013/9/13,0.0375
2013/9/20,0.0286
2013/9/27,0.021
2013/10/4,0.0362
2013/10/11,0.0355
2013/10/18,0.0301
2013/10/25,0.0308
2013/11/1,0.0393
2013/11/8,0.0498
2013/11/15,0.0357
2013/11/22,0.0397
2013/11/29,0.0286
2013/12/6,0.0696
2013/12/13,0.0505
2013/12/20,0.0608
2013/12/27,0.0315
2014/1/3,0.0538
2014/1/10,0.0583
2014/1/17,0.0774
2014/1/24,0.0919
2014/1/31,0.085
2014/2/7,0.1142
2014/2/14,0.0844
2014/2/21,0.0428
2014/2/28,0.0522
2014/3/7,0.1605
2014/3/14,0.109
2014/3/21,0.0795
2014/3/28,0.1239
2014/4/4,0.0746
2014/4/11,0.0891
2014/4/18,0.0551
2014/4/25,0.0565
2014/5/2,0.0646
2014/5/9,0.0886
2014/5/16,0.0935
2014/5/23,0.0573
2014/5/30,0.0461
2014/6/6,0.0665
2014/6/13,0.0642
2014/6/20,0.0675
2014/6/27,0.0702
2014/7/4,0.083
2014/7/11,0.0826
2014/7/18,0.0913
2014/7/25,0.1367
2014/8/1,0.1175
2014/8/8,0.1109
2014/8/15,0.1158
2014/8/22,0.0997
2014/8/29,0.0781
2014/9/5,0.115
2014/9/12,0.0792
2014/9/19,0.0651
2014/9/26,0.0875
2014/10/3,0.1215
2014/10/10,0.1218
2014/10/17,0.1825
2014/10/24,0.1256
2014/10/31,0.1557
2014/11/7,0.1317
2014/11/14,0.1085
2014/11/21,0.1213
2014/11/28,0.0481
2014/12/5,0.0965
2014/12/12,0.1132
2014/12/19,0.1379
2014/12/26,0.0361
2015/1/2,0.0877
2015/1/9,0.1492
2015/1/16,0.1558
2015/1/23,0.1937
2015/1/30,0.1497
2015/2/6,0.1277
2015/2/13,0.0825
2015/2/20,0.0554
2015/2/27,0.0746
2015/3/6,0.0625
2015/3/13,0.1071
2015/3/20,0.0933
2015/3/27,0.0751
2015/4/3,0.0556
2015/4/10,0.0713
2015/4/17,0.0639
2015/4/24,0.0761
2015/5/1,0.1094
2015/5/8,0.114
2015/5/15,0.0838
2015/5/22,0.0706
2015/5/29,0.0747
2015/6/5,0.1011
2015/6/12,0.0806
2015/6/19,0.0679
2015/6/26,0.0696
2015/7/3,0.1194
2015/7/10,0.1912
2015/7/17,0.1097
2015/7/24,0.0855
2015/7/31,0.113
2015/8/7,0.1015
2015/8/14,0.123
2015/8/21,0.1486
2015/8/28,0.2004
2015/9/4,0.1762
2015/9/11,0.1199
2015/9/18,0.1919
2015/9/25,0.2301
2015/10/2,0.168
2015/10/9,0.155
2015/10/16,0.1422
2015/10/23,0.1883
2015/10/30,0.1071
2015/11/6,0.0976
2015/11/13,0.0892
2015/11/20,0.0938
2015/11/27,0.0804
2015/12/4,0.1299
2015/12/11,0.1196
2015/12/18,0.0831
2015/12/25,0.0719
2016/1/1,0.0572
2016/1/8,0.1663
2016/1/15,0.1109
2016/1/22,0.1648
2016/1/29,0.1764
2016/2/5,0.1618
2016/2/12,0.2567
2016/2/19,0.2148
2016/2/26,0.222
2016/3/4,0.2284
2016/3/11,0.239
2016/3/18,0.1784
2016/3/25,0.11
2016/4/1,0.1728
2016/4/8,0.1682
2016/4/15,0.1664
2016/4/22,0.1782
2016/4/29,0.1617
2016/5/6,0.1389
2016/5/13,0.108
2016/5/20,0.1162
2016/5/27,0.1162
2016/6/3,0.1298
2016/6/10,0.1325
2016/6/17,0.1845
2016/6/24,0.32
2016/7/1,0.3012
2016/7/8,0.2713
2016/7/15,0.3046
2016/7/22,0.1753
2016/7/29,0.2091
2016/8/5,0.222
2016/8/12,0.1356
2016/8/19,0.149
2016/8/26,0.1388
2016/9/2,0.1458
2016/9/9,0.141
2016/9/16,0.1194
2016/9/23,0.1491
2016/9/30,0.101
2016/10/7,0.1431
2016/10/14,0.146
2016/10/21,0.0926
2016/10/28,0.0929
2016/11/4,0.1172
2016/11/11,0.1407
2016/11/18,0.0869
2016/11/25,0.0807
2016/12/2,0.1254
2016/12/9,0.1468
2016/12/16,0.0938
2016/12/23,0.0752
2016/12/30,0.0527
2017/1/6,0.0772
2017/1/13,0.0643
2017/1/20,0.0759
2017/1/27,0.087
2017/2/3,0.0789
2017/2/10,0.0889
2017/2/17,0.0708
2017/2/24,0.0661
2017/3/3,0.089
2017/3/10,0.0731
2017/3/17,0.0557
2017/3/24,0.0544
2017/3/31,0.0455
2017/4/7,0.0471
2017/4/14,0.0414
2017/4/21,0.051
2017/4/28,0.0856
2017/5/5,0.0464
2017/5/12,0.0418
2017/5/19,0.0632
2017/5/26,0.0419
2017/6/2,0.0476
2017/6/9,0.0434
2017/6/16,0.0553
2017/6/23,0.0244
2017/6/30,0.0811
2017/7/7,0.0435
2017/7/14,0.0532
2017/7/21,0.0528
2017/7/28,0.0391
2017/8/4,0.0375
2017/8/11,0.0306
2017/8/18,0.0485
2017/8/25,0.0504
2017/9/1,0.0585
2017/9/8,0.0603
2017/9/15,0.0553
2017/9/22,0.0453
2017/9/29,0.0464
2017/10/6,0.0384
2017/10/13,0.0401
2017/10/20,0.0405
2017/10/27,0.0642
2017/11/3,0.0463
2017/11/10,0.0535
