Date,h=1,h=3,h=12
4/1971,0.628268866,0.770894885,0.903249907
5/1971,0.627182646,0.766009944,0.898624393
6/1971,0.636612626,0.767714526,0.896115339
7/1971,0.643130157,0.769976781,0.895310852
8/1971,0.638350262,0.767316612,0.895024516
9/1971,0.633959387,0.766910423,0.896255262
10/1971,0.6246563,0.761320415,0.893723294
11/1971,0.624722217,0.762414077,0.893872154
12/1971,0.63941491,0.774696284,0.89894888
1/1972,0.6477692,0.778999067,0.89887693
2/1972,0.62257943,0.760539826,0.890317518
3/1972,0.603674807,0.744135955,0.883041604
4/1972,0.595071152,0.734072023,0.876848853
5/1972,0.593678944,0.733673635,0.876230412
6/1972,0.600105362,0.740713939,0.879923239
7/1972,0.616089133,0.754648683,0.887021604
8/1972,0.62417613,0.76360527,0.893669546
9/1972,0.625322151,0.765786362,0.896189184
10/1972,0.641253877,0.776787403,0.900409495
11/1972,0.642796245,0.781549167,0.903765156
12/1972,0.652195457,0.792847619,0.911436638
1/1973,0.666530656,0.808746938,0.9224341
2/1973,0.679487928,0.826219751,0.936558658
3/1973,0.682960335,0.83507983,0.946353068
4/1973,0.688020302,0.844192284,0.956950699
5/1973,0.693683341,0.856877192,0.970192434
6/1973,0.716856545,0.883462009,0.987874729
7/1973,0.75845551,0.928073053,1.013597271
8/1973,0.790936783,0.9582313,1.027938835
9/1973,0.794170558,0.960851862,1.031132062
10/1973,0.795829423,0.95664581,1.031290035
11/1973,0.786266631,0.948073225,1.029403454
12/1973,0.788518932,0.946026299,1.02901528
1/1974,0.793224527,0.944968035,1.027084651
2/1974,0.785374097,0.939895713,1.026810282
3/1974,0.782159173,0.938541528,1.027503544
4/1974,0.789789926,0.944019879,1.03013063
5/1974,0.784602555,0.945925206,1.033488879
6/1974,0.78324773,0.950503594,1.039691173
7/1974,0.797146416,0.964544834,1.048454318
8/1974,0.812518084,0.975652011,1.052487223
9/1974,0.820581069,0.981698211,1.051370731
10/1974,0.831775274,0.989644205,1.052138427
11/1974,0.858710995,1.010100137,1.055332057
12/1974,0.870187485,1.016902149,1.054195071
1/1975,0.83924488,0.990950885,1.042105544
2/1975,0.814708492,0.964461881,1.02675572
3/1975,0.795300616,0.945425927,1.016701348
4/1975,0.782525639,0.928725364,1.007363542
5/1975,0.775794447,0.913722863,0.994718905
6/1975,0.775057866,0.903045855,0.98436251
7/1975,0.763531231,0.89088546,0.975764334
8/1975,0.72822613,0.863165188,0.960125117
9/1975,0.699027641,0.837723868,0.946299471
10/1975,0.677691468,0.820465177,0.937658238
11/1975,0.664027309,0.80785647,0.931022085
12/1975,0.669749052,0.808225142,0.928184367
1/1976,0.674904617,0.811102372,0.927897984
2/1976,0.657732681,0.79420365,0.917049922
3/1976,0.641168688,0.778068871,0.908123804
4/1976,0.633754053,0.769203794,0.901928566
5/1976,0.627683005,0.762800485,0.896936655
6/1976,0.617548473,0.752968015,0.890591422
7/1976,0.609741979,0.744984616,0.886390601
8/1976,0.61079355,0.744013299,0.884140343
9/1976,0.618146509,0.749060387,0.885798416
10/1976,0.628453822,0.758833938,0.889336256
11/1976,0.637379386,0.76388779,0.890260708
12/1976,0.637854415,0.764849956,0.890282654
1/1977,0.63903586,0.764191786,0.889196569
2/1977,0.635691177,0.761579125,0.887486241
3/1977,0.620918879,0.748713769,0.881618445
4/1977,0.596063739,0.729583016,0.873693937
5/1977,0.58787794,0.72271012,0.871532077
6/1977,0.581456033,0.716272406,0.867940061
7/1977,0.581103289,0.715194614,0.867527854
8/1977,0.58152188,0.716265786,0.869198307
9/1977,0.591444345,0.723339551,0.871195986
10/1977,0.604052006,0.734561464,0.876424265
11/1977,0.613631043,0.74331468,0.881121324
12/1977,0.637653758,0.762519664,0.889577616
1/1978,0.669010695,0.788142929,0.902342839
2/1978,0.661422774,0.787987404,0.90659612
3/1978,0.664145472,0.792076038,0.910358115
4/1978,0.654880809,0.788603454,0.912842332
5/1978,0.636967862,0.778868612,0.912946247
6/1978,0.626855361,0.771642044,0.912503946
7/1978,0.626365079,0.773182611,0.915447403
8/1978,0.621050345,0.771807459,0.918237319
9/1978,0.6253776,0.776820555,0.92275493
10/1978,0.631438854,0.785444243,0.928696408
11/1978,0.642778565,0.795104586,0.935807191
12/1978,0.646555285,0.797648085,0.936679741
1/1979,0.663902225,0.811564735,0.942681074
2/1979,0.675836151,0.822584506,0.949108487
3/1979,0.695923626,0.839443255,0.959690423
4/1979,0.738014819,0.867602424,0.974277792
